SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
02:39,7
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, 816.142716, -369.44732, -443.336784, -410.682622, 118.986668, 296.848379, 0
0.03, 802.708268, -225.027004, -560.888204, -383.34042, 41.082002, 346.792552, 0
0.06, 745.611864, -73.889464, -671.7224, -344.113291, -36.341771, 383.752614, 0
0.09, 671.7224, 83.9653, -752.329088, -288.604499, -118.84927, 408.552953, 0
0.12, 581.039876, 235.10284, -809.425492, -226.01971, -195.311257, 420.712676, 0
0.15, 466.847068, 386.24038, -843.011612, -157.045914, -263.735461, 418.583007, 0
0.18, 325.785364, 523.943472, -836.294388, -79.141248, -322.953999, 399.622083, 0
0.21, 171.289212, 648.212116, -792.632432, -1.580077, -367.333553, 367.402252, 0
0.24, 23.510284, 728.818804, -735.536028, 77.492472, -400.377772, 320.893029, 0
0.27, -137.703092, 795.991044, -651.570728, 158.076399, -420.094385, 261.674491, 0
0.3, -288.840632, 839.653, -547.453756, 228.355476, -424.765917, 197.303528, 0
0.33, -416.467888, 843.011612, -419.8265, 292.65774, -416.247241, 124.207792, 0
0.36, -550.812368, 809.425492, -265.330348, 344.594184, -391.240805, 47.127514, 0
0.39, -651.570728, 772.48076, -110.834196, 384.783099, -353.387656, -32.28853, 0
0.42, -732.177416, 695.232684, 43.661956, 410.613923, -301.107717, -112.185467, 0
0.45, -789.27382, 597.832936, 194.799496, 423.117141, -238.110734, -189.197046, 0
0.48, -816.142716, 480.281516, 352.65426, 421.674462, -169.68653, -257.62125, 0
0.51, -812.784104, 339.219812, 486.99874, 402.507441, -93.155844, -314.916216, 0
0.54, -779.197984, 184.72366, 614.625996, 371.66159, -15.663372, -360.738449, 0
0.57, -722.10158, 26.868896, 712.025744, 327.831628, 62.996983, -393.920066, 0
0.6, -644.853504, -124.268644, 789.27382, 267.788702, 145.435783, -414.25497, 0
0.63, -537.37792, -278.764796, 829.577164, 204.929117, 217.981927, -422.361452, 0
0.66, -416.467888, -429.902336, 846.370224, 131.352488, 284.688656, -414.117572, 0
0.69, -268.68896, -547.453756, 832.935776, 53.516521, 338.960866, -390.966009, 0
0.72, -114.192808, -665.005176, 799.349656, -24.319446, 378.737587, -353.250258, 0
0.75, 36.944732, -752.329088, 718.742968, -104.42248, 408.209458, -302.412998, 0
0.78, 194.799496, -809.425492, 638.13628, -182.533243, 422.636248, -240.652597, 0
0.81, 339.219812, -839.653, 523.943472, -250.476554, 423.323238, -174.014567, 0
0.84, 476.922904, -839.653, 382.881768, -311.89346, 409.514739, -98.995259, 0
0.87, 594.474324, -799.349656, 228.385616, -359.501867, 379.974169, -21.021894, 0
0.9, 691.874072, -738.89464, 73.889464, -395.294046, 337.792983, 58.256752, 0
0.93, 759.046312, -661.646564, -87.323912, -416.590736, 281.253706, 137.191903, 0
0.96, 812.784104, -560.888204, -241.820064, -425.178111, 216.40185, 212.486007, 0
0.99, 816.142716, -433.260948, -386.24038, -416.796833, 144.748793, 276.85697, 0
1.02, 809.425492, -268.68896, -520.58486, -393.576571, 67.050224, 331.335277, 0
1.05, 772.48076, -130.985868, -634.777668, -358.402683, -10.30485, 372.898172, 0
1.08, 708.667132, 30.227508, -725.460192, -308.939403, -91.026175, 401.957849, 0
1.11, 614.625996, 184.72366, -799.349656, -246.972905, -170.854413, 418.033415, 0
1.14, 507.150412, 339.219812, -826.218552, -181.983651, -240.789995, 421.468365, 0
1.17, 376.164544, 476.922904, -839.653, -106.139955, -304.267871, 407.591167, 0
1.2, 228.385616, 601.191548, -819.501328, -28.647483, -353.250258, 379.699373, 0
1.23, 80.606688, 705.30852, -759.046312, 49.944173, -390.072922, 337.861682, 0
1.26, -80.606688, 775.839372, -685.156848, 131.008993, -415.079358, 282.971181, 0
1.29, -241.820064, 822.85994, -587.7571, 204.997816, -424.147626, 220.042897, 0
1.32, -382.881768, 849.728836, -463.488456, 271.429749, -420.987472, 150.313412, 0
1.35, -507.150412, 829.577164, -322.426752, 328.518618, -401.476956, 73.370532, 0
1.38, -614.625996, 792.632432, -171.289212, 372.417279, -367.814446, -5.083726, 0
1.41, -705.30852, 725.460192, -6.717224, 403.675324, -320.686932, -85.118061, 0
1.44, -772.48076, 644.853504, 147.778928, 420.369181, -260.231812, -163.572319, 0
1.47, -816.142716, 527.302084, 302.27508, 424.55982, -194.143374, -235.774968, 0
1.5, -819.501328, 389.598992, 446.695396, 410.682622, -119.811056, -296.504884, 0
1.53, -795.991044, 235.10284, 577.681264, 383.546517, -42.249885, -346.792552, 0
1.56, -748.970476, 87.323912, 688.51546, 344.662883, 35.517383, -384.370905, 0
1.59, -668.363788, -73.889464, 772.48076, 289.22279, 118.093581, -408.75905, 0
1.62, -574.322652, -228.385616, 812.784104, 226.638001, 194.280772, -421.262268, 0
1.65, -460.129844, -376.164544, 843.011612, 157.114613, 262.979772, -418.789104, 0
1.68, -312.350916, -513.867636, 843.011612, 79.484743, 322.541805, -400.446471, 0
1.71, -167.9306, -634.777668, 806.06688, 2.06097, 366.440466, -367.53965, 0
1.74, -10.075836, -725.460192, 755.6877, -76.94288, 399.553384, -321.099126, 0
1.77, 144.420316, -792.632432, 658.287952, -157.664205, 419.476094, -262.086685, 0
1.8, 295.557856, -829.577164, 560.888204, -227.943282, 424.422422, -197.372227, 0
1.83, 436.61956, -846.370224, 429.902336, -292.245546, 415.972445, -125.100879, 0
1.86, 554.17098, -819.501328, 278.764796, -344.86898, 391.5843, -47.608407, 0
1.89, 661.646564, -765.763536, 124.268644, -385.057895, 353.937248, 31.258045, 0
1.92, 752.329088, -695.232684, -33.58612, -411.50701, 301.863406, 110.880186, 0
1.95, 799.349656, -597.832936, -188.082272, -423.941529, 238.866423, 188.166561, 0
1.98, 819.501328, -480.281516, -332.502588, -421.880559, 170.098724, 256.24727, 0
2.01, 812.784104, -322.426752, -483.640128, -403.26313, 93.361941, 314.366624, 0
2.04, 785.915208, -171.289212, -604.55016, -371.867687, 16.212964, 359.98276, 0
2.07, 742.253252, -26.868896, -698.591296, -328.106424, -62.790886, 393.507872, 0
2.1, 651.570728, 137.703092, -782.556596, -268.269595, -144.817492, 413.636679, 0
2.13, 544.095144, 288.840632, -819.501328, -205.41001, -217.913228, 422.292753, 0
2.16, 433.260948, 433.260948, -839.653, -132.108177, -284.139064, 413.705378, 0
2.19, 275.406184, 567.605428, -829.577164, -54.340909, -338.617371, 390.622514, 0
2.22, 130.985868, 678.439624, -779.197984, 23.082864, -378.600189, 353.868549, 0
2.25, -30.227508, 759.046312, -708.667132, 103.73549, -408.278157, 302.687794, 0
2.28, -181.365048, 809.425492, -611.267384, 181.502758, -422.979743, 241.683082, 0
2.31, -332.502588, 829.577164, -513.867636, 249.446069, -423.666733, 174.701557, 0
2.34, -463.488456, 839.653, -372.805932, 310.794276, -409.995632, 100.025744, 0
2.37, -584.398488, 809.425492, -218.30978, 358.60878, -380.317664, 21.708884, 0
2.4, -675.081012, 752.329088, -53.737792, 394.675755, -338.548672, -57.913257, 0
2.43, -748.970476, 671.7224, 94.041136, 415.697649, -281.528502, -136.985806, 0
2.46, -802.708268, 567.605428, 248.537288, 424.834616, -217.363636, -212.211211, 0
2.49, -822.85994, 436.61956, 403.03344, 416.865532, -145.710579, -276.719572, 0
2.52, -799.349656, 282.123408, 537.37792, 393.920066, -68.699, -330.648287, 0
2.55, -765.763536, 130.985868, 648.212116, 359.433168, 8.518676, -372.760774, 0
2.58, -698.591296, -23.510284, 745.611864, 309.488995, 89.789593, -401.820451, 0
2.61, -604.55016, -184.72366, 806.06688, 247.865992, 169.755229, -418.170813, 0
2.64, -497.074576, -332.502588, 839.653, 182.464544, 240.171704, -421.81186, 0
2.67, -366.088708, -466.847068, 846.370224, 106.139955, 304.473968, -408.278157, 0
2.7, -221.668392, -601.191548, 819.501328, 28.510085, 352.906763, -380.523761, 0
2.73, -70.530852, -695.232684, 785.915208, -49.669377, 389.660728, -338.342575, 0
2.76, 90.682524, -769.122148, 695.232684, -130.665498, 414.735863, -283.658171, 0
2.79, 241.820064, -822.85994, 597.832936, -204.929117, 424.216325, -220.317693, 0
2.82, 389.598992, -846.370224, 476.922904, -271.223652, 420.781375, -150.863004, 0
2.85, 517.226248, -832.935776, 332.502588, -328.518618, 401.339558, -74.263619, 0
2.88, 628.060444, -782.556596, 171.289212, -372.692075, 368.22664, 4.328037, 0
2.91, 715.384356, -725.460192, 16.79306, -403.744023, 320.961728, 83.881479, 0
2.94, 789.27382, -631.419056, -130.985868, -421.12487, 261.0562, 162.610533, 0
2.97, 816.142716, -517.226248, -288.840632, -424.765917, 194.280772, 234.400988, 0
3, 816.142716, -376.164544, -433.260948, -410.888719, 119.879755, 295.886593, 0
3.03, 795.991044, -225.027004, -554.17098, -383.615216, 42.387283, 345.830766, 0
3.06, 752.329088, -77.248076, -675.081012, -344.662883, -35.242587, 383.752614, 0
3.09, 678.439624, 77.248076, -755.6877, -289.634984, -117.612688, 408.278157, 0
3.12, 587.7571, 235.10284, -809.425492, -227.256292, -194.074675, 420.781375, 0
3.15, 470.20568, 382.881768, -843.011612, -158.351195, -262.43018, 418.857803, 0
3.18, 332.502588, 523.943472, -839.653, -80.858723, -321.923514, 400.309073, 0
3.21, 178.006436, 638.13628, -809.425492, -3.297552, -366.371767, 368.020543, 0
3.24, 30.227508, 728.818804, -738.89464, 75.706298, -399.484685, 321.717417, 0
3.27, -137.703092, 802.708268, -654.92934, 156.152827, -419.75089, 263.185869, 0
3.3, -278.764796, 832.935776, -550.812368, 226.912797, -424.834616, 198.402712, 0
3.33, -423.185112, 839.653, -419.8265, 291.352459, -416.522037, 125.650471, 0
3.36, -550.812368, 819.501328, -268.68896, 343.495, -391.790397, 48.501494, 0
3.39, -648.212116, 769.122148, -114.192808, 384.164808, -354.418141, -31.051948, 0
3.42, -732.177416, 698.591296, 43.661956, 410.064331, -302.2756, -110.467992, 0
3.45, -792.632432, 601.191548, 191.440884, 423.460636, -239.553413, -188.097862, 0
3.48, -816.142716, 486.99874, 345.937036, 421.880559, -171.197908, -256.178571, 0
3.51, -809.425492, 342.578424, 490.357352, 403.194431, -94.942018, -313.885731, 0
3.54, -779.197984, 184.72366, 614.625996, 372.485978, -17.724342, -359.914061, 0
3.57, -725.460192, 33.58612, 715.384356, 328.449919, 61.416906, -393.301775, 0
3.6, -644.853504, -127.627256, 782.556596, 268.819187, 143.855706, -413.842776, 0
3.63, -544.095144, -278.764796, 832.935776, 205.547408, 216.951442, -422.704947, 0
3.66, -409.750664, -426.543724, 856.44606, 132.520371, 283.72687, -414.392368, 0
3.69, -268.68896, -557.529592, 836.294388, 54.478307, 338.548672, -391.5843, 0
3.72, -110.834196, -665.005176, 799.349656, -22.945466, 378.119296, -353.937248, 0
3.75, 40.303344, -738.89464, 725.460192, -103.323296, 408.003361, -303.512182, 0
3.78, 191.440884, -809.425492, 628.060444, -181.090564, 422.292753, -241.889179, 0
3.81, 342.578424, -839.653, 523.943472, -249.171273, 422.979743, -175.18245, 0
3.84, 470.20568, -836.294388, 382.881768, -310.656878, 409.995632, -100.506637, 0
3.87, 591.115712, -795.991044, 231.744228, -358.471382, 380.317664, -22.67067, 0
3.9, 691.874072, -745.611864, 80.606688, -395.01925, 338.892167, 56.607976, 0
3.93, 755.6877, -668.363788, -90.682524, -416.522037, 282.146793, 136.161418, 0
3.96, 806.06688, -560.888204, -235.10284, -425.452907, 217.844529, 211.386823, 0
3.99, 816.142716, -429.902336, -382.881768, -417.415124, 146.32887, 275.826485, 0
4.02, 806.06688, -278.764796, -517.226248, -394.33226, 68.561602, 330.510889, 0
4.05, 769.122148, -127.627256, -638.13628, -359.501867, -8.312579, 372.142483, 0
4.08, 708.667132, 26.868896, -725.460192, -310.51948, -89.240001, 401.270859, 0
4.11, 617.984608, 174.647824, -789.27382, -248.346885, -169.205637, 417.483823, 0
4.14, 520.58486, 329.143976, -832.935776, -183.495029, -239.622112, 421.674462, 0
4.17, 376.164544, 476.922904, -843.011612, -107.376537, -303.306085, 407.865963, 0
4.2, 228.385616, 597.832936, -819.501328, -29.884065, -352.700666, 380.729858, 0
4.23, 73.889464, 698.591296, -765.763536, 48.432795, -389.179835, 338.823468, 0
4.26, -77.248076, 779.197984, -688.51546, 129.566314, -414.94196, 284.139064, 0
4.29, -231.744228, 829.577164, -581.039876, 203.555137, -424.422422, 220.935984, 0
4.32, -379.523156, 849.728836, -470.20568, 270.399264, -421.399666, 151.549994, 0
4.35, -503.7918, 829.577164, -322.426752, 327.69423, -402.163946, 75.019308, 0
4.38, -621.34322, 795.991044, -171.289212, 371.867687, -368.982329, -3.43495, 0
4.41, -708.667132, 732.177416, -3.358612, 403.125732, -321.786116, -83.400586, 0
4.44, -775.839372, 644.853504, 147.778928, 420.025686, -261.262297, -162.404436, 0
4.47, -819.501328, 534.019308, 305.633692, 424.353723, -195.311257, -234.607085, 0
4.5, -819.501328, 389.598992, 446.695396, 410.957418, -120.772842, -295.680496, 0
4.53, -792.632432, 241.820064, 574.322652, 384.02741, -43.623865, -345.624669, 0
4.56, -745.611864, 83.9653, 678.439624, 345.418572, 34.006005, -383.683915, 0
4.59, -681.798236, -70.530852, 765.763536, 290.321974, 116.376106, -408.415555, 0
4.62, -581.039876, -221.668392, 816.142716, 227.39369, 193.04419, -420.987472, 0
4.65, -463.488456, -379.523156, 843.011612, 158.832088, 261.537093, -419.201298, 0
4.68, -322.426752, -513.867636, 839.653, 80.721325, 321.854815, -400.721267, 0
4.71, -171.289212, -638.13628, 809.425492, 3.709746, 365.822175, -368.638834, 0
4.74, -10.075836, -722.10158, 755.6877, -75.5689, 399.209889, -322.060912, 0
4.77, 134.34448, -795.991044, 671.7224, -155.94673, 419.0639, -263.460665, 0
4.8, 288.840632, -839.653, 564.246816, -226.775399, 424.628519, -198.814906, 0
4.83, 433.260948, -843.011612, 433.260948, -291.008964, 415.972445, -126.40616, 0
4.86, 554.17098, -822.85994, 282.123408, -343.907194, 392.133892, -49.394581, 0
4.89, 665.005176, -765.763536, 127.627256, -384.302206, 354.48684, 29.884065, 0
4.92, 738.89464, -691.874072, -30.227508, -410.613923, 302.96259, 109.162711, 0
4.95, 799.349656, -601.191548, -184.72366, -423.735432, 239.896908, 186.723882, 0
4.98, 822.85994, -480.281516, -329.143976, -421.468365, 171.266607, 254.941989, 0
5.01, 809.425492, -332.502588, -473.564292, -403.606625, 95.216814, 313.473537, 0
5.04, 789.27382, -178.006436, -601.191548, -372.692075, 17.518245, 359.364469, 0
5.07, 732.177416, -26.868896, -701.949908, -329.343006, -61.004712, 392.752183, 0
5.1, 651.570728, 130.985868, -775.839372, -269.712274, -143.237415, 413.499281, 0
5.13, 550.812368, 285.48202, -826.218552, -207.127485, -216.127054, 422.430151, 0
5.16, 419.8265, 436.61956, -836.294388, -133.96305, -282.902482, 414.392368, 0
5.19, 285.48202, 564.246816, -839.653, -55.989685, -337.724284, 391.446902, 0
