SE COLINAS FID=SEL-421-R117-V0-Z007007-D20060413
49:36,1
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, -124.268644, 127.627256, 30.227508, -350.502298, 404.705809, -60.592518, 0
0.03, -137.703092, 107.475584, 63.813628, -393.507872, 363.967302, 23.907252, 0
0.06, -144.420316, 67.17224, 90.682524, -424.972014, 314.778818, 106.346052, 0
0.09, -130.985868, 50.37918, 114.192808, -438.437018, 252.194029, 184.388116, 0
0.12, -120.910032, 20.151672, 124.268644, -438.368319, 179.510487, 259.338725, 0
0.15, -107.475584, -6.717224, 134.34448, -422.155355, 102.842403, 320.755631, 0
0.18, -87.323912, -36.944732, 134.34448, -389.179835, 20.060108, 370.150212, 0
0.21, -57.096404, -70.530852, 137.703092, -344.594184, -63.958769, 409.720836, 0
0.24, -36.944732, -100.75836, 141.061704, -289.978479, -143.306114, 431.841914, 0
0.27, -10.075836, -117.55142, 141.061704, -222.996954, -221.691673, 440.566687, 0
0.3, 10.075836, -130.985868, 130.985868, -147.771549, -290.253275, 432.735001, 0
0.33, 43.661956, -124.268644, 117.55142, -68.355505, -345.830766, 408.552953, 0
0.36, 70.530852, -130.985868, 97.399748, 14.976382, -391.446902, 371.455493, 0
0.39, 107.475584, -134.34448, 73.889464, 97.346483, -423.254539, 322.404407, 0
0.42, 117.55142, -147.778928, 53.737792, 176.350333, -438.849212, 262.224083, 0
0.45, 124.268644, -124.268644, 26.868896, 251.163544, -439.536202, 190.98322, 0
0.48, 134.34448, -130.985868, 10.075836, 314.847517, -424.491121, 114.177738, 0
0.51, 144.420316, -100.75836, -23.510284, 365.684777, -393.233076, 33.044219, 0
0.54, 157.854764, -73.889464, -63.813628, 405.118003, -349.197017, -51.936444, 0
0.57, 154.496152, -53.737792, -94.041136, 430.330536, -296.230088, -131.970779, 0
0.6, 137.703092, -30.227508, -104.116972, 440.085794, -229.179864, -209.875445, 0
0.63, 130.985868, 6.717224, -114.192808, 434.86467, -154.984944, -281.528502, 0
0.66, 114.192808, 30.227508, -120.910032, 412.674893, -76.805482, -337.655585, 0
0.69, 90.682524, 63.813628, -130.985868, 375.233938, 8.106482, -385.195293, 0
0.72, 57.096404, 107.475584, -137.703092, 327.969026, 90.957476, -419.544793, 0
0.75, 40.303344, 124.268644, -137.703092, 268.681789, 169.480433, -436.307349, 0
