SE COLINAS FID=SEL-421-R117-V0-Z007007-D20060413
23:18,9
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, 1286.348396, -617.984608, -665.005176, -428.200867, 291.008964, 136.573612, 0
0.03, 1262.838112, -396.316216, -856.44606, -436.92564, 224.577031, 210.493736, 0
0.06, 1185.590036, -167.9306, -1007.5836, -432.185409, 152.717877, 280.498017, 0
0.09, 1064.680004, 77.248076, -1125.13502, -409.171244, 73.370532, 336.899896, 0
0.12, 910.183852, 322.426752, -1209.10032, -372.417279, -11.953626, 383.477818, 0
0.15, 728.818804, 547.453756, -1266.196724, -324.396678, -93.636737, 417.346425, 0
0.18, 530.660696, 759.046312, -1282.989784, -262.979772, -174.289363, 432.391506, 0
0.21, 312.350916, 933.694136, -1229.251992, -194.692966, -248.00339, 436.788242, 0
0.24, 70.530852, 1057.96278, -1128.493632, -119.811056, -308.527209, 423.18584, 0
0.27, -171.289212, 1168.796976, -987.431928, -37.921848, -361.288041, 392.889581, 0
0.3, -419.8265, 1239.327828, -819.501328, 45.890932, -401.614354, 353.387656, 0
0.33, -631.419056, 1279.631172, -628.060444, 128.054936, -426.689489, 297.604068, 0
0.36, -826.218552, 1266.196724, -413.109276, 204.860418, -438.574416, 234.95058, 0
0.39, -987.431928, 1192.30726, -188.082272, 274.040311, -433.49069, 164.946299, 0
0.42, -1115.059184, 1081.473064, 67.17224, 332.228364, -413.705378, 84.843265, 0
0.45, -1215.817544, 926.976912, 308.992304, 378.462791, -376.539219, 2.954057, 0
0.48, -1269.555336, 752.329088, 537.37792, 414.873261, -328.862113, -82.370101, 0
0.51, -1276.27256, 547.453756, 742.253252, 433.009797, -270.811458, -162.060941, 0
0.54, -1232.610604, 339.219812, 913.542464, 437.200436, -201.081973, -234.469687, 0
0.57, -1141.92808, 107.475584, 1047.886944, 427.445178, -128.123635, -301.245115, 0
0.6, -1007.5836, -144.420316, 1165.438364, 398.179404, -44.860447, -353.525054, 0
0.63, -836.294388, -386.24038, 1242.68644, 357.784392, 39.982818, -397.492414, 0
0.66, -654.92934, -614.625996, 1276.27256, 305.298356, 120.978939, -425.109412, 0
0.69, -446.695396, -816.142716, 1269.555336, 240.4465, 200.463682, -435.482961, 0
0.72, -225.027004, -970.638868, 1202.383096, 170.510918, 269.30008, -435.55166, 0
0.75, 23.510284, -1088.190288, 1091.5489, 92.74365, 326.732444, -414.94196, 0
0.78, 272.047572, -1192.30726, 930.335524, 9.823957, 376.333122, -381.416848, 0
0.81, 500.433188, -1249.403664, 762.404924, -73.714027, 410.888719, -336.968595, 0
0.84, 715.384356, -1272.913948, 570.96404, -155.053643, 432.185409, -276.719572, 0
0.87, 896.749404, -1232.610604, 366.088708, -229.248563, 438.505717, -212.623405, 0
0.9, 1034.452496, -1148.645304, 117.55142, -295.680496, 428.200867, -138.291087, 0
0.93, 1158.72114, -1021.018048, -130.985868, -349.67791, 402.026548, -55.852287, 0
0.96, 1242.68644, -859.804672, -379.523156, -393.439173, 361.35674, 26.449115, 0
0.99, 1286.348396, -671.7224, -591.115712, -423.529335, 310.107286, 111.498477, 0
1.02, 1272.913948, -470.20568, -792.632432, -436.307349, 247.3164, 188.166561, 0
1.05, 1209.10032, -241.820064, -960.563032, -435.895155, 176.625129, 258.651735, 0
1.08, 1104.983348, 0, -1084.831676, -419.544793, 101.262326, 320.343437, 0
1.11, 973.99748, 245.178676, -1188.948648, -385.744885, 16.556459, 368.432737, 0
1.14, 792.632432, 483.640128, -1256.120888, -342.052321, -66.912826, 408.209458, 0
1.17, 604.55016, 695.232684, -1282.989784, -284.41386, -147.634151, 428.887857, 0
1.2, 392.957604, 876.597732, -1256.120888, -217.569733, -224.508332, 435.895155, 0
1.23, 154.496152, 1021.018048, -1162.079752, -145.64188, -289.291489, 430.05574, 0
1.26, -90.682524, 1138.569468, -1044.528332, -64.783157, -344.525485, 403.331829, 0
1.29, -339.219812, 1222.534768, -873.23912, 17.999138, -389.52333, 367.53965, 0
1.32, -564.246816, 1262.838112, -681.798236, 101.811918, -419.819589, 317.458079, 0
1.35, -772.48076, 1276.27256, -486.99874, 180.403574, -436.169951, 255.697678, 0
1.38, -930.335524, 1222.534768, -265.330348, 252.537524, -437.131737, 189.197046, 0
1.41, -1064.680004, 1118.417796, -16.79306, 314.916216, -421.949258, 110.811487, 0
1.44, -1182.231424, 970.638868, 228.385616, 364.1047, -390.072922, 29.471871, 0
1.47, -1242.68644, 809.425492, 456.771232, 404.774508, -345.55597, -54.340909, 0
1.5, -1276.27256, 621.34322, 665.005176, 428.475663, -291.352459, -136.848408, 0
1.53, -1256.120888, 413.109276, 866.521896, 437.063038, -225.195322, -210.562435, 0
1.56, -1178.872812, 181.365048, 1010.942212, 432.048011, -153.267469, -279.60493, 0
1.59, -1054.604168, -57.096404, 1131.852244, 408.690351, -73.645328, -336.556401, 0
1.62, -900.108016, -302.27508, 1222.534768, 371.730289, 11.67883, -382.722129, 0
1.65, -708.667132, -540.736532, 1272.913948, 323.57229, 94.11763, -417.552522, 0
1.68, -517.226248, -748.970476, 1279.631172, 262.292782, 174.49546, -432.528904, 0
1.71, -298.916468, -916.901076, 1229.251992, 194.143374, 247.797293, -437.063038, 0
1.74, -63.813628, -1054.604168, 1128.493632, 119.742357, 307.840219, -423.735432, 0
1.77, 188.082272, -1165.438364, 984.073316, 37.440955, 360.875847, -393.301775, 0
1.8, 433.260948, -1239.327828, 826.218552, -46.097029, 401.064762, -353.525054, 0
1.83, 644.853504, -1266.196724, 631.419056, -128.741926, 426.689489, -297.397971, 0
1.86, 829.577164, -1252.762276, 426.543724, -205.547408, 438.29962, -234.675784, 0
1.89, 984.073316, -1182.231424, 198.158108, -274.383806, 433.49069, -164.671503, 0
1.92, 1121.776408, -1068.038616, -47.020568, -333.052752, 412.88099, -84.018877, 0
1.95, 1215.817544, -913.542464, -298.916468, -378.668888, 376.401821, -2.473164, 0
1.98, 1279.631172, -732.177416, -530.660696, -415.010659, 328.724715, 82.301402, 0
2.01, 1289.707008, -537.37792, -738.89464, -432.735001, 270.193167, 162.335737, 0
2.04, 1239.327828, -325.785364, -906.82524, -436.788242, 200.807177, 234.057493, 0
2.07, 1145.286692, -87.323912, -1047.886944, -426.689489, 127.848839, 301.176416, 0
