SE COLINAS FID=SEL-421-R117-V0-Z007007-D20060413
02:39,7
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, 13.434448, 725.460192, -718.742968, 29.815366, 363.142914, -389.248534, 0
0.03, -151.13754, 782.556596, -628.060444, -53.241725, 403.125732, -346.723853, 0
0.06, -288.840632, 819.501328, -523.943472, -132.451672, 427.582576, -293.413429, 0
0.09, -433.260948, 829.577164, -392.957604, -207.951873, 436.650844, -229.729456, 0
0.12, -560.888204, 819.501328, -248.537288, -275.002097, 427.239081, -156.015429, 0
0.15, -658.287952, 769.122148, -97.399748, -333.602344, 406.972876, -76.668084, 0
0.18, -732.177416, 691.874072, 57.096404, -380.180266, 371.249396, 6.251609, 0
0.21, -782.556596, 597.832936, 211.592556, -413.430582, 321.786116, 88.484312, 0
0.24, -802.708268, 476.922904, 359.371484, -432.048011, 265.17814, 165.770687, 0
0.27, -799.349656, 325.785364, 493.715964, -432.8037, 194.41817, 238.316831, 0
0.3, -765.763536, 191.440884, 601.191548, -420.369181, 119.055367, 301.451212, 0
0.33, -705.30852, 33.58612, 688.51546, -393.095678, 38.746236, 355.036432, 0
0.36, -617.984608, -124.268644, 752.329088, -351.189288, -47.264912, 397.561113, 0
0.39, -513.867636, -275.406184, 799.349656, -299.733737, -125.513073, 424.285024, 0
0.42, -392.957604, -436.61956, 832.935776, -236.461958, -201.906361, 435.620359, 0
0.45, -248.537288, -554.17098, 822.85994, -164.053212, -270.261866, 430.330536, 0
0.48, -104.116972, -658.287952, 772.48076, -86.079847, -327.969026, 410.064331, 0
0.51, 53.737792, -728.818804, 705.30852, -2.06097, -378.806286, 376.607918, 0
0.54, 218.30978, -785.915208, 604.55016, 79.416044, -412.949689, 330.44219, 0
0.57, 356.012872, -812.784104, 497.074576, 157.664205, -433.284593, 274.246408, 0
0.6, 490.357352, -816.142716, 359.371484, 230.82864, -435.620359, 206.509194, 0
0.63, 604.55016, -782.556596, 211.592556, 294.787409, -421.949258, 130.253304, 0
0.66, 695.232684, -728.818804, 53.737792, 350.296201, -397.561113, 49.875474, 0
0.69, 762.404924, -651.570728, -90.682524, 391.652999, -355.517325, -34.212102, 0
0.72, 806.06688, -537.37792, -251.8959, 421.605763, -304.611366, -114.658631, 0
0.75, 819.501328, -406.392052, -392.957604, 433.628088, -243.400557, -190.364929, 0
0.78, 802.708268, -268.68896, -523.943472, 430.330536, -169.68653, -260.712705, 0
0.81, 765.763536, -127.627256, -631.419056, 412.812291, -94.11763, -319.931243, 0
0.84, 698.591296, 36.944732, -708.667132, 380.455062, -10.098753, -371.318095, 0
0.87, 601.191548, 184.72366, -762.404924, 334.770227, 73.576629, -408.209458, 0
0.9, 490.357352, 345.937036, -812.784104, 280.498017, 150.656907, -429.987041, 0
0.93, 352.65426, 490.357352, -816.142716, 213.104298, 226.225807, -436.307349, 0
0.96, 208.233944, 611.267384, -799.349656, 138.978077, 289.772382, -425.452907, 0
0.99, 57.096404, 695.232684, -752.329088, 58.806344, 345.693368, -400.927364, 0
1.02, -94.041136, 762.404924, -654.92934, -25.762125, 391.790397, -362.524623, 0
1.05, -248.537288, 812.784104, -564.246816, -105.727761, 420.918773, -312.511751, 0
1.08, -389.598992, 836.294388, -436.61956, -183.151534, 436.032553, -252.949718, 0
1.11, -507.150412, 826.218552, -295.557856, -253.293213, 432.11671, -182.05235, 0
1.14, -614.625996, 792.632432, -151.13754, -314.778818, 414.94196, -104.078985, 0
1.17, -705.30852, 722.10158, 3.358612, -366.234369, 385.813584, -22.395874, 0
1.2, -765.763536, 631.419056, 144.420316, -403.125732, 339.235662, 60.867314, 0
1.23, -802.708268, 517.226248, 302.27508, -427.926071, 285.650442, 140.14596, 0
1.26, -802.708268, 379.523156, 446.695396, -434.040282, 219.287208, 214.272181, 0
1.29, -782.556596, 235.10284, 570.96404, -425.521606, 144.2679, 281.116308, 0
1.32, -732.177416, 87.323912, 668.363788, -403.812722, 66.775428, 337.655585, 0
1.35, -651.570728, -70.530852, 725.460192, -366.096971, -19.029623, 385.126594, 0
1.38, -547.453756, -231.744228, 792.632432, -318.007671, -99.819647, 416.796833, 0
1.41, -426.543724, -386.24038, 832.935776, -259.544822, -176.281634, 433.49069, 0
1.44, -298.916468, -513.867636, 829.577164, -189.403143, -248.827778, 434.040282, 0
1.47, -147.778928, -624.701832, 799.349656, -113.490748, -309.1455, 418.651706, 0
1.5, -6.717224, -705.30852, 728.818804, -31.326744, -362.73072, 389.52333, 0
1.53, 157.854764, -769.122148, 644.853504, 52.073842, -403.194431, 347.410843, 0
1.56, 305.633692, -812.784104, 534.019308, 131.146391, -427.857372, 294.581312, 0
1.59, 436.61956, -822.85994, 409.750664, 207.058786, -437.131737, 230.966038, 0
1.62, 567.605428, -812.784104, 255.254512, 273.628117, -427.582576, 157.114613, 0
1.65, 661.646564, -762.404924, 114.192808, 332.777956, -407.522468, 77.767268, 0
1.68, 742.253252, -678.439624, -47.020568, 379.287179, -371.66159, -5.49592, 0
1.71, 792.632432, -584.398488, -194.799496, 412.743592, -322.610504, -87.797322, 0
1.74, 819.501328, -456.771232, -349.295648, 431.910613, -266.139926, -165.221095, 0
1.77, 816.142716, -315.709528, -480.281516, 433.215894, -195.379956, -237.904637, 0
1.8, 782.556596, -171.289212, -597.832936, 420.850074, -120.22325, -301.382513, 0
1.83, 728.818804, -20.151672, -685.156848, 393.576571, -39.84542, -354.967733, 0
1.86, 631.419056, 137.703092, -745.611864, 351.189288, 46.165728, -397.423715, 0
1.89, 520.58486, 292.199244, -795.991044, 300.145931, 124.757384, -424.55982, 0
1.92, 406.392052, 439.978172, -819.501328, 237.148948, 201.219371, -435.895155, 0
1.95, 258.613124, 570.96404, -809.425492, 164.19061, 269.643575, -430.467934, 0
1.98, 120.910032, 661.646564, -769.122148, 86.698138, 327.419434, -410.545224, 0
2.01, -36.944732, 732.177416, -695.232684, 2.816659, 377.981898, -376.951413, 0
2.04, -191.440884, 799.349656, -594.474324, -79.00385, 412.056602, -330.373491, 0
2.07, -339.219812, 826.218552, -486.99874, -157.32071, 432.666302, -274.383806, 0
2.1, -473.564292, 832.935776, -349.295648, -230.759941, 435.482961, -206.78399, 0
2.13, -597.832936, 816.142716, -194.799496, -294.71871, 421.949258, -131.008993, 0
2.16, -675.081012, 745.611864, -47.020568, -350.433599, 397.492414, -50.562464, 0
2.19, -745.611864, 661.646564, 104.116972, -391.859096, 356.273014, 33.044219, 0
2.22, -792.632432, 550.812368, 248.537288, -421.674462, 304.680065, 114.04034, 0
2.25, -809.425492, 423.185112, 399.674828, -434.17768, 243.606654, 189.677939, 0
2.28, -792.632432, 282.123408, 534.019308, -430.261837, 170.304821, 259.888317, 0
2.31, -755.6877, 127.627256, 638.13628, -413.155786, 94.186329, 319.45035, 0
2.34, -681.798236, -23.510284, 722.10158, -380.798557, 10.648345, 371.043299, 0
2.37, -591.115712, -171.289212, 775.839372, -335.25112, -73.301833, 407.728565, 0
2.4, -473.564292, -332.502588, 816.142716, -280.910211, -150.382111, 429.712245, 0
2.43, -342.578424, -470.20568, 829.577164, -213.516492, -225.676215, 435.689058, 0
