SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
23:18,9
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
2.1, -806.06688, 1343.4448, -523.943472, -186.517785, 419.613492, -233.920095, 0
2.13, -987.431928, 1279.631172, -278.764796, -252.194029, 416.178542, -163.915814, 0
2.16, -1148.645304, 1178.872812, -20.151672, -309.763791, 397.423715, -87.866021, 0
2.19, -1256.120888, 1034.452496, 248.537288, -359.227071, 365.547379, -6.457706, 0
2.22, -1330.010352, 853.087448, 493.715964, -393.576571, 321.580019, 71.172164, 0
2.25, -1350.162024, 658.287952, 722.10158, -416.041144, 270.124468, 145.023589, 0
2.28, -1319.934516, 416.467888, 910.183852, -421.949258, 207.814475, 213.859987, 0
2.31, -1246.045052, 167.9306, 1091.5489, -407.797264, 134.512642, 273.834214, 0
2.34, -1111.700572, -100.75836, 1219.176156, -384.508303, 55.920986, 330.44219, 0
2.37, -960.563032, -356.012872, 1309.85868, -346.723853, -23.838553, 372.898172, 0
2.4, -775.839372, -587.7571, 1363.596472, -296.09269, -103.941587, 403.537926, 0
2.43, -554.17098, -799.349656, 1353.520636, -239.75951, -174.49546, 418.926502, 0
2.46, -315.709528, -987.431928, 1296.424232, -171.953597, -239.690811, 415.010659, 0
2.49, -57.096404, -1141.92808, 1199.024484, -94.942018, -299.596339, 397.629812, 0
2.52, 211.592556, -1259.4795, 1051.245556, -17.106051, -348.510027, 368.22664, 0
2.55, 456.771232, -1330.010352, 883.314956, 63.752672, -387.393661, 324.602775, 0
2.58, 685.156848, -1350.162024, 688.51546, 139.733766, -413.087087, 273.559418, 0
2.61, 876.597732, -1323.293128, 450.054008, 209.257154, -420.643977, 210.562435, 0
2.64, 1057.96278, -1249.403664, 204.875332, 271.567147, -411.781806, 139.046776, 0
2.67, 1195.665872, -1138.569468, -70.530852, 327.350735, -388.83634, 61.073411, 0
2.7, 1296.424232, -970.638868, -319.06814, 371.66159, -352.700666, -19.167021, 0
2.73, 1353.520636, -792.632432, -557.529592, 401.339558, -305.229657, -95.629008, 0
2.76, 1350.162024, -564.246816, -779.197984, 419.338696, -250.613952, -168.449948, 0
2.79, 1306.500068, -329.143976, -967.280256, 418.445609, -184.594213, -234.126192, 0
2.82, 1212.458932, -73.889464, -1138.569468, 400.51517, -108.063527, -293.825623, 0
2.85, 1068.038616, 194.799496, -1256.120888, 373.791259, -29.471871, -347.548241, 0
2.88, 900.108016, 443.336784, -1326.65174, 330.854384, 51.318153, -385.676186, 0
2.91, 708.667132, 668.363788, -1356.879248, 278.574445, 128.123635, -411.369612, 0
2.94, 483.640128, 876.597732, -1326.65174, 219.562004, 196.341742, -420.575278, 0
2.97, 235.10284, 1047.886944, -1262.838112, 146.603666, 260.644006, -411.026117, 0
3, -26.868896, 1185.590036, -1141.92808, 69.317291, 317.114584, -390.004223, 0
3.03, -285.48202, 1293.06562, -994.149152, -10.030054, 362.249827, -355.242529, 0
