SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
49:36,1
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, 312.350916, 6.717224, -298.916468, 47.058815, -390.141621, 343.014107, 0
0.03, 282.123408, 73.889464, -329.143976, 124.207792, -412.537495, 291.695954, 0
0.06, 228.385616, 137.703092, -335.8612, 199.433197, -423.460636, 227.462389, 0
0.09, 161.213376, 194.799496, -345.937036, 267.720003, -421.743161, 157.939001, 0
0.12, 107.475584, 238.461452, -339.219812, 324.465377, -403.881421, 81.957907, 0
0.15, 53.737792, 282.123408, -329.143976, 370.356309, -372.142483, 1.305281, 0
0.18, -13.434448, 315.709528, -312.350916, 403.812722, -327.969026, -79.347345, 0
0.21, -70.530852, 335.8612, -258.613124, 419.338696, -269.849672, -155.397138, 0
0.24, -147.778928, 349.295648, -211.592556, 424.216325, -202.455953, -230.279048, 0
0.27, -198.158108, 339.219812, -137.703092, 415.079358, -130.184605, -292.932536, 0
0.3, -231.744228, 325.785364, -73.889464, 389.248534, -49.875474, -345.006378, 0
0.33, -282.123408, 315.709528, -3.358612, 350.296201, 31.807637, -385.538788, 0
0.36, -308.992304, 275.406184, 63.813628, 299.046747, 110.674089, -409.926933, 0
0.39, -322.426752, 235.10284, 120.910032, 234.881881, 188.647454, -421.12487, 0
0.42, -332.502588, 167.9306, 184.72366, 165.56459, 258.170842, -420.781375, 0
0.45, -325.785364, 107.475584, 235.10284, 89.514797, 317.320681, -403.675324, 0
0.48, -315.709528, 33.58612, 275.406184, 7.762987, 365.272583, -372.073784, 0
0.51, -285.48202, -23.510284, 325.785364, -73.50793, 399.209889, -327.69423, 0
0.54, -251.8959, -80.606688, 342.578424, -149.420325, 417.209027, -271.979341, 0
0.57, -188.082272, -137.703092, 356.012872, -223.890041, 424.422422, -205.203913, 0
0.6, -137.703092, -198.158108, 356.012872, -287.84881, 417.209027, -133.96305, 0
0.63, -83.9653, -245.178676, 349.295648, -340.953137, 394.469658, -55.989685, 0
0.66, -20.151672, -285.48202, 339.219812, -383.546517, 358.059188, 25.899523, 0
0.69, 40.303344, -315.709528, 305.633692, -410.82002, 309.214199, 105.178169, 0
0.72, 107.475584, -322.426752, 245.178676, -422.567549, 247.110303, 180.815768, 0
0.75, 167.9306, -339.219812, 194.799496, -424.078927, 179.166992, 252.674922, 0
0.78, 214.951168, -332.502588, 134.34448, -408.75905, 103.529393, 311.618664, 0
0.81, 255.254512, -315.709528, 60.455016, -378.187995, 22.189777, 359.845362, 0
0.84, 312.350916, -298.916468, 0, -335.25112, -58.39415, 395.362745, 0
0.87, 312.350916, -261.971736, -73.889464, -279.467532, -136.436214, 414.323669, 0
0.9, 332.502588, -204.875332, -134.34448, -212.211211, -213.447793, 422.155355, 0
0.93, 342.578424, -137.703092, -184.72366, -141.313843, -279.330134, 416.453338, 0
0.96, 332.502588, -83.9653, -238.461452, -63.409177, -334.770227, 394.675755, 0
0.99, 322.426752, -10.075836, -295.557856, 19.716613, -378.668888, 358.059188, 0
1.02, 298.916468, 53.737792, -315.709528, 98.651764, -406.69808, 310.313383, 0
1.05, 245.178676, 114.192808, -332.502588, 174.289363, -420.781375, 249.652166, 0
1.08, 184.72366, 171.289212, -342.578424, 246.148517, -423.804131, 181.434059, 0
1.11, 120.910032, 218.30978, -345.937036, 306.328841, -410.957418, 108.200925, 0
1.14, 67.17224, 265.330348, -339.219812, 356.410412, -384.783099, 28.647483, 0
1.17, 6.717224, 305.633692, -315.709528, 394.400959, -344.113291, -52.829531, 0
1.2, -57.096404, 329.143976, -278.764796, 416.109843, -290.940265, -130.322003, 0
1.23, -124.268644, 342.578424, -225.027004, 423.391937, -225.195322, -205.547408, 0
1.26, -171.289212, 345.937036, -164.571988, 420.094385, -155.878031, -273.284622, 0
1.29, -225.027004, 335.8612, -94.041136, 399.553384, -77.286375, -328.930812, 0
1.32, -275.406184, 322.426752, -36.944732, 364.585593, 4.740231, -372.898172, 0
1.35, -308.992304, 292.199244, 43.661956, 318.07637, 84.705867, -403.95012, 0
1.38, -319.06814, 248.537288, 100.75836, 257.483852, 162.404436, -418.308211, 0
1.41, -329.143976, 194.799496, 164.571988, 189.197046, 236.461958, -422.636248, 0
1.44, -325.785364, 124.268644, 221.668392, 115.620417, 298.634553, -410.888719, 0
1.47, -322.426752, 67.17224, 261.971736, 35.654781, 350.845793, -384.508303, 0
1.5, -308.992304, -6.717224, 312.350916, -47.058815, 389.660728, -343.701097, 0
1.53, -282.123408, -63.813628, 339.219812, -124.551287, 412.812291, -292.314245, 0
1.56, -218.30978, -117.55142, 349.295648, -199.295799, 423.048442, -227.943282, 0
1.59, -157.854764, -188.082272, 352.65426, -267.857401, 421.949258, -158.419894, 0
1.62, -100.75836, -238.461452, 352.65426, -324.602775, 403.194431, -82.644897, 0
1.65, -47.020568, -272.047572, 345.937036, -370.28761, 371.455493, -1.236582, 0
1.68, 20.151672, -312.350916, 315.709528, -404.018819, 327.556832, 79.416044, 0
1.71, 80.606688, -322.426752, 272.047572, -419.75089, 269.231381, 155.397138, 0
1.74, 154.496152, -345.937036, 211.592556, -424.834616, 202.181157, 230.004252, 0
1.77, 204.875332, -332.502588, 151.13754, -415.560251, 130.184605, 292.795138, 0
1.8, 241.820064, -322.426752, 80.606688, -390.072922, 50.081571, 345.143776, 0
1.83, 292.199244, -305.633692, 13.434448, -350.845793, -31.60154, 385.057895, 0
1.86, 322.426752, -272.047572, -47.020568, -299.665038, -110.055798, 409.239943, 0
1.89, 332.502588, -228.385616, -104.116972, -235.500172, -188.029163, 420.506579, 0
1.92, 332.502588, -167.9306, -174.647824, -166.182881, -257.896046, 420.506579, 0
1.95, 335.8612, -97.399748, -225.027004, -90.133088, -317.114584, 403.331829, 0
1.98, 332.502588, -33.58612, -268.68896, -8.24388, -365.135185, 371.798988, 0
2.01, 305.633692, 26.868896, -302.27508, 72.82094, -399.415986, 327.69423, 0
2.04, 272.047572, 90.682524, -329.143976, 148.802034, -417.209027, 271.773244, 0
2.07, 211.592556, 151.13754, -335.8612, 223.409148, -424.697218, 204.72302, 0
2.1, 151.13754, 208.233944, -349.295648, 287.367917, -417.621221, 133.894351, 0
2.13, 83.9653, 255.254512, -335.8612, 341.090535, -395.087949, 56.058384, 0
2.16, 30.227508, 302.27508, -322.426752, 383.34042, -359.364469, -25.487329, 0
2.19, -26.868896, 325.785364, -292.199244, 410.82002, -310.244684, -104.972072, 0
2.22, -97.399748, 342.578424, -235.10284, 422.086656, -248.072089, -180.609671, 0
2.25, -161.213376, 349.295648, -184.72366, 423.254539, -179.853982, -252.400126, 0
2.28, -214.951168, 339.219812, -114.192808, 408.484254, -104.216383, -311.756062, 0
2.31, -258.613124, 329.143976, -53.737792, 377.432306, -22.533272, -359.707964, 0
2.34, -288.840632, 292.199244, 23.510284, 335.388518, 58.256752, -396.049735, 0
2.37, -319.06814, 265.330348, 83.9653, 279.192736, 135.817923, -414.461067, 0
2.4, -322.426752, 211.592556, 151.13754, 212.623405, 212.760803, -422.361452, 0
2.43, -329.143976, 151.13754, 204.875332, 141.726037, 278.780542, -417.209027, 0
2.46, -322.426752, 80.606688, 238.461452, 63.409177, 334.426732, -395.294046, 0
2.49, -315.709528, 16.79306, 298.916468, -19.854011, 378.050597, -358.196586, 0
2.52, -285.48202, -47.020568, 335.8612, -98.857861, 406.972876, -311.069072, 0
2.55, -245.178676, -97.399748, 339.219812, -174.426761, 421.056171, -250.888748, 0
2.58, -178.006436, -157.854764, 352.65426, -246.560711, 424.147626, -182.189748, 0
2.61, -120.910032, -221.668392, 349.295648, -306.534938, 411.163515, -108.819216, 0
2.64, -53.737792, -255.254512, 342.578424, -356.204315, 384.096109, -29.128376, 0
2.67, 0, -298.916468, 322.426752, -394.194862, 343.769796, 52.417337, 0
2.7, 60.455016, -329.143976, 288.840632, -416.178542, 290.390673, 129.978508, 0
2.73, 137.703092, -332.502588, 231.744228, -424.078927, 225.195322, 205.822204, 0
2.76, 188.082272, -332.502588, 171.289212, -420.712676, 155.603235, 273.147224, 0
2.79, 235.10284, -325.785364, 104.116972, -399.965578, 77.011579, 328.999511, 0
2.82, 278.764796, -308.992304, 36.944732, -365.135185, -4.671532, 373.03557, 0
2.85, 315.709528, -288.840632, -36.944732, -318.351166, -84.774566, 403.469227, 0
2.88, 332.502588, -241.820064, -87.323912, -257.896046, -162.12964, 417.964716, 0
2.91, 332.502588, -184.72366, -147.778928, -189.815337, -236.393259, 422.49885, 0
2.94, 335.8612, -117.55142, -208.233944, -116.032611, -298.428456, 410.682622, 0
2.97, 332.502588, -60.455016, -258.613124, -36.204373, -350.570997, 384.233507, 0
3, 308.992304, 3.358612, -302.27508, 46.097029, -389.660728, 343.701097, 0
3.03, 285.48202, 67.17224, -325.785364, 123.795598, -412.331398, 291.558556, 0
3.06, 231.744228, 141.061704, -342.578424, 198.54011, -422.842345, 227.943282, 0
3.09, 167.9306, 184.72366, -342.578424, 266.964314, -421.399666, 158.282496, 0
3.12, 114.192808, 241.820064, -339.219812, 323.984484, -403.675324, 82.713596, 0
3.15, 43.661956, 278.764796, -322.426752, 370.150212, -372.279881, 1.854873, 0
3.18, -10.075836, 322.426752, -298.916468, 403.400528, -328.312521, -78.522957, 0
3.21, -67.17224, 332.502588, -261.971736, 419.0639, -270.399264, -154.710148, 0
3.24, -141.061704, 345.937036, -201.51672, 424.147626, -203.417739, -229.317262, 0
3.27, -201.51672, 345.937036, -141.061704, 415.422853, -130.940294, -292.795138, 0
3.3, -231.744228, 332.502588, -63.813628, 389.592029, -50.699862, -344.525485, 0
3.33, -282.123408, 312.350916, -10.075836, 351.05189, 31.051948, -385.470089, 0
3.36, -312.350916, 288.840632, 60.455016, 299.939834, 109.849701, -409.720836, 0
3.39, -329.143976, 225.027004, 117.55142, 235.431473, 187.891765, -421.193569, 0
3.42, -335.8612, 164.571988, 184.72366, 166.457677, 257.62125, -421.193569, 0
3.45, -322.426752, 107.475584, 241.820064, 90.201787, 317.045885, -404.018819, 0
3.48, -315.709528, 43.661956, 285.48202, 8.449977, 364.929088, -372.34858, 0
3.51, -285.48202, -23.510284, 322.426752, -72.958338, 399.484685, -328.449919, 0
3.54, -251.8959, -83.9653, 339.219812, -149.145529, 417.415124, -272.322836, 0
3.57, -204.875332, -141.061704, 359.371484, -223.065653, 424.628519, -205.753505, 0
3.6, -141.061704, -201.51672, 356.012872, -287.642713, 417.621221, -134.581341, 0
3.63, -87.323912, -248.537288, 356.012872, -340.74704, 394.950551, -56.745374, 0
3.66, -20.151672, -295.557856, 329.143976, -383.477818, 358.883576, 25.075135, 0
3.69, 36.944732, -312.350916, 315.709528, -411.026117, 309.763791, 104.834674, 0
3.72, 114.192808, -332.502588, 241.820064, -422.224054, 247.728594, 180.266176, 0
