SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
41:47,5
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, 463.488456, 57.096404, -510.509024, -197.921819, -222.58476, 421.399666, 0
0.03, 392.957604, 164.571988, -540.736532, -126.543558, -287.574014, 412.674893, 0
0.06, 305.633692, 268.68896, -554.17098, -47.127514, -344.86898, 389.454631, 0
0.09, 221.668392, 356.012872, -564.246816, 29.677968, -383.065624, 351.464084, 0
0.12, 124.268644, 426.543724, -537.37792, 108.956614, -409.514739, 297.672767, 0
0.15, 26.868896, 486.99874, -507.150412, 186.723882, -423.666733, 235.362774, 0
0.18, -90.682524, 537.37792, -436.61956, 255.216785, -422.704947, 167.62556, 0
0.21, -198.158108, 560.888204, -362.730096, 315.534507, -408.484254, 92.74365, 0
0.24, -278.764796, 560.888204, -272.047572, 363.486409, -379.836771, 16.831255, 0
0.27, -369.44732, 560.888204, -178.006436, 398.797695, -334.976324, -63.752672, 0
0.3, -436.61956, 523.943472, -83.9653, 417.964716, -277.54396, -142.20693, 0
0.33, -490.357352, 473.564292, 30.227508, 423.666733, -210.562435, -216.195753, 0
0.36, -527.302084, 399.674828, 141.061704, 417.964716, -139.184174, -283.520773, 0
0.39, -544.095144, 308.992304, 251.8959, 393.164377, -61.760401, -336.350304, 0
0.42, -557.529592, 231.744228, 335.8612, 358.883576, 14.976382, -378.394092, 0
0.45, -537.37792, 130.985868, 419.8265, 307.702821, 93.499339, -404.705809, 0
0.48, -493.715964, 30.227508, 486.99874, 242.438771, 173.739771, -418.995201, 0
0.51, -426.543724, -87.323912, 537.37792, 175.319848, 244.156246, -420.643977, 0
0.54, -349.295648, -198.158108, 564.246816, 100.575336, 307.428025, -407.247672, 0
0.57, -268.68896, -288.840632, 577.681264, 21.365389, 359.227071, -379.012383, 0
0.6, -188.082272, -372.805932, 564.246816, -55.508792, 391.996494, -335.869411, 0
0.63, -90.682524, -446.695396, 544.095144, -134.856137, 415.766348, -278.643144, 0
0.66, 16.79306, -500.433188, 490.357352, -209.325853, 424.216325, -214.959171, 0
0.69, 130.985868, -530.660696, 423.185112, -275.414291, 418.995201, -144.199201, 0
0.72, 231.744228, -544.095144, 345.937036, -332.846655, 400.927364, -68.424204, 0
0.75, 322.426752, -554.17098, 251.8959, -376.127025, 366.371767, 8.449977, 0
0.78, 403.03344, -537.37792, 157.854764, -407.110274, 317.38938, 89.583496, 0
